"ncbi_taxonomy_id","organism"
1140,"Synechococcus elongatus PCC7942"
3055,"Chlamydomonas reinhardtii"
3218,"Physcomitrella patens"
3694,"Populus trichocarpa"
3702,"Arabidopsis thaliana"
3847,"Glycine max"
3988,"Ricinus communis"
4558,"Sorghum bicolor"
4577,"Zea mays"
4754,"Pneumocystis carinii"
4787,"Phytophthora infestans"
4896,"Schizosaccharomyces pombe"
5141,"Neurospora crassa"
5270,"Ustilago maydis"
5664,"Leishmania major"
6183,"Schistosoma mansoni"
6238,"Caenorhabditis briggsae"
6239,"Caenorhabditis elegans"
6945,"Lxodes scapularis"
7029,"Acyrthosiphon pisum"
7159,"Aedes aegypti"
7165,"Anopheles gambiae"
7176,"Culex quinquefasciatus"
7227,"Drosophila melanogaster"
7460,"Apis mellifera"
7668,"Strongylocentrotus purpuratus"
7955,"Danio rerio"
8355,"Xenopus laevis"
9031,"Gallus gallus"
9103,"Meleagris gallopavo"
9258,"Ornithorhynchus anatinus"
9483,"Callithrix jacchus"
9544,"Macaca mulatta"
9598,"Pan troglodytes"
9601,"Pongo abelii"
9606,"Homo sapiens"
9615,"Canis familiaris"
9646,"Ailuropoda melanoleuca"
9785,"Loxodonta africana"
9796,"Equus caballus"
9823,"Sus scrofa"
9913,"Bos taurus"
9986,"Oryctolagus cuniculus"
10029,"Cricetulus griseus"
10090,"Mus musculus"
10116,"Rattus norvegicus"
10141,"Cavia porcellus"
10228,"Trichoplax adhaerens"
10298,"Human Herpesvirus 1"
10310,"Human Herpesvirus 2"
10335,"Human Herpesvirus 3"
10359,"Human Herpesvirus 5"
10366,"Murid Herpesvirus 1"
10368,"Human Herpesvirus 6"
10372,"Human Herpesvirus 7"
10376,"Human Herpesvirus 4"
